label,qid,docid,comment:,features
0,14037,0,docid = GX000-07-4584575 inc = 1 prob = 0.0897452,"[0.003858, 0.0, 1.0, 0.0, 0.004244, 0.0, 0.0, 0.0, 0.0, 0.0, 0.010464, 0.0, 1.0, 0.0, 0.012007, 0.00415, 0.388889, 0.190476, 0.25, 0.00422, 0.435224, 0.392657, 0.300611, 0.469248, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.438189, 0.385365, 0.303029, 0.516361, 0.0, 0.0, 0.0, 0.746354, 0.6, 0.64]"
2,14037,1,docid = GX002-12-9743659 inc = 0.00930335709080856 prob = 0.138015,"[0.023148, 0.0, 0.0, 0.0, 0.023148, 0.0, 0.0, 0.0, 0.0, 0.0, 0.049617, 0.0, 0.0, 0.0, 0.050205, 0.007762, 0.111111, 0.0, 0.125, 0.007658, 0.932799, 0.965409, 0.678169, 0.980575, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.931495, 0.961341, 0.677179, 0.978899, 0.142857, 0.14, 0.0, 0.046205, 0.3, 0.28]"
0,14037,2,docid = GX004-60-9416940 inc = 1 prob = 0.0334252,"[0.145833, 0.0, 0.0, 0.0, 0.145833, 0.0, 0.0, 0.0, 0.0, 0.0, 0.156161, 0.0, 0.0, 0.0, 0.156708, 0.38854, 0.0, 0.238095, 0.0, 0.388497, 0.218669, 0.254454, 0.210715, 0.273208, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.225135, 0.254346, 0.210824, 0.348936, 0.285714, 0.04, 0.0, 0.0, 0.0, 0.04]"
0,14037,3,docid = GX025-90-14243696 inc = 1 prob = 0.329261,"[0.10571, 0.0, 0.0, 0.0, 0.10571, 0.0, 0.0, 0.0, 0.0, 0.0, 0.192752, 0.0, 0.0, 0.0, 0.195189, 0.027956, 0.055556, 0.047619, 0.125, 0.027854, 0.647533, 0.796305, 0.77398, 0.785227, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.647761, 0.795911, 0.773239, 0.806888, 0.142857, 0.06, 0.0, 0.084319, 0.1, 0.8]"
1,14037,4,docid = GX039-05-10560983 inc = 0.00236193424099648 prob = 0.0904923,"[0.042438, 0.0, 0.0, 0.0, 0.042438, 0.0, 0.0, 0.0, 0.0, 0.0, 0.111068, 0.0, 0.0, 0.0, 0.112598, 0.023928, 1.0, 0.380952, 0.125, 0.024242, 0.717947, 0.703126, 0.634735, 0.739168, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.717742, 0.697856, 0.631673, 0.762079, 0.285714, 0.2, 0.0, 0.054713, 0.3, 0.72]"
0,14037,5,docid = GX054-15-15832567 inc = 0.00819126292801465 prob = 0.110325,"[0.178627, 0.0, 0.0, 0.0, 0.178627, 0.0, 0.0, 0.0, 0.0, 0.0, 0.378233, 0.0, 0.0, 0.0, 0.382524, 0.099653, 0.055556, 0.047619, 0.375, 0.09959, 0.894162, 0.848298, 0.878437, 0.848981, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.897298, 0.848839, 0.878911, 0.865247, 0.428571, 0.28, 0.0, 1.0, 0.2, 0.08]"
0,14037,6,docid = GX062-19-7355440 inc = 1 prob = 0.126069,"[0.001543, 1.0, 0.0, 0.0, 0.003086, 0.0, 0.0, 0.0, 0.0, 0.0, 0.002763, 1.0, 0.0, 0.0, 0.005349, 0.00066, 0.5, 0.047619, 0.625, 0.000764, 0.404421, 0.578399, 0.239204, 0.72881, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.477637, 0.69816, 0.287136, 0.776591, 0.428571, 0.68, 0.0, 0.116249, 0.6, 0.04]"
0,14037,7,docid = GX081-69-1048268 inc = 0.00176091348265261 prob = 0.0897596,"[0.001929, 0.0, 0.0, 0.0, 0.001929, 0.0, 0.0, 0.0, 0.0, 0.0, 0.002685, 0.0, 0.0, 0.0, 0.002704, 0.002969, 0.055556, 0.0, 1.0, 0.002969, 0.310266, 0.335578, 0.22471, 0.460589, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.305221, 0.323289, 0.220489, 0.501291, 1.0, 1.0, 0.0, 0.25786, 1.0, 0.0]"
0,14037,8,docid = GX091-49-3018556 inc = 0.00479082024541604 prob = 0.0787346,"[0.048225, 0.0, 0.0, 0.0, 0.048225, 0.0, 0.0, 0.0, 0.0, 0.0, 0.074643, 0.0, 0.0, 0.0, 0.075283, 0.056138, 0.0, 1.0, 0.375, 0.056403, 0.610081, 0.630831, 0.58778, 0.640794, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.615462, 0.62939, 0.58667, 0.677062, 0.571429, 0.44, 0.0, 0.00147, 0.1, 0.4]"
0,14037,9,docid = GX121-68-4625340 inc = 1 prob = 0.388067,"[0.090278, 0.0, 0.0, 0.0, 0.090278, 0.0, 0.0, 0.0, 0.0, 0.0, 0.167569, 0.0, 0.0, 0.0, 0.169319, 0.025091, 0.388889, 0.285714, 0.125, 0.02518, 0.719146, 0.821193, 0.781101, 0.800979, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.717878, 0.818369, 0.779304, 0.819483, 0.285714, 0.24, 0.0, 0.082624, 0.2, 1.0]"
1,14037,10,docid = GX228-02-10524405 inc = 0.00601298994176909 prob = 0.0923975,"[0.112654, 0.0, 0.0, 0.0, 0.112654, 0.0, 0.0, 0.0, 0.0, 0.0, 0.299458, 0.0, 0.0, 0.0, 0.303572, 0.084216, 0.277778, 0.428571, 0.25, 0.084343, 0.710385, 0.673518, 0.674099, 0.676748, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.714409, 0.673107, 0.673602, 0.710243, 0.142857, 0.24, 0.0, 0.031856, 0.1, 0.28]"
0,14037,11,docid = GX251-96-8493810 inc = 1 prob = 0.37198,"[0.170525, 0.0, 0.0, 0.0, 0.170525, 0.0, 0.0, 0.0, 0.0, 0.0, 0.434754, 0.0, 0.0, 0.0, 0.440535, 0.049418, 0.111111, 0.0, 0.625, 0.049387, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 0.571429, 0.58, 0.0, 0.006659, 0.1, 0.0]"
0,14037,12,docid = GX257-67-14110887 inc = 1 prob = 0.0828629,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.222222, 0.0, 0.625, 0.0, 0.0, 0.320886, 0.143391, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.19328, 0.138128, 0.0, 0.857143, 0.3, 0.0, 0.004927, 0.1, 0.0]"
0,14037,13,docid = GX259-75-11830348 inc = 0.0023404138140872 prob = 0.0902467,"[1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.166667, 0.0, 0.25, 1.0, 0.201073, 0.0, 0.0, 0.199308, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.204248, 0.0, 0.0, 0.282442, 0.142857, 0.28, 0.0, 0.051606, 0.1, 0.0]"
0,14037,14,docid = GX262-10-8542836 inc = 0.00575396157680579 prob = 0.0786947,"[0.01196, 0.0, 0.0, 0.0, 0.01196, 0.0, 0.0, 0.0, 0.0, 0.0, 0.020849, 0.0, 0.0, 0.0, 0.021142, 0.004845, 0.111111, 0.0, 0.25, 0.004758, 0.222567, 0.184571, 0.288416, 0.203304, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.222722, 0.190355, 0.285272, 0.28178, 0.428571, 0.32, 0.0, 0.034404, 0.1, 0.0]"
0,14037,15,docid = GX266-81-7615384 inc = 1 prob = 0.113699,"[0.379244, 0.0, 0.0, 0.0, 0.379244, 0.0, 0.0, 0.0, 0.0, 0.0, 0.613582, 0.0, 0.0, 0.0, 0.618777, 0.713179, 0.277778, 0.0, 0.75, 0.713264, 0.483953, 0.507252, 0.525998, 0.51435, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.492858, 0.507919, 0.526937, 0.565593, 0.285714, 0.76, 0.0, 0.377421, 0.2, 0.0]"
0,14043,16,docid = GX000-15-3636699 inc = 0.0987194667223466 prob = 0.0814912,"[0.001652, 0.428571, 0.0, 0.0, 0.002477, 0.0, 0.0, 0.0, 0.0, 0.0, 0.302925, 0.564231, 0.0, 0.0, 0.307709, 0.004074, 1.0, 0.25, 0.166667, 0.004757, 0.153806, 0.223942, 0.29122, 0.356986, 0.188876, 0.289234, 0.251351, 0.473109, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.193046, 0.263755, 0.330044, 0.364553, 0.166667, 0.138462, 0.0, 0.079047, 0.248175, 0.076923]"
0,14043,17,docid = GX000-20-1644302 inc = 1 prob = 0.0897452,"[0.019818, 0.0, 0.0, 0.0, 0.019818, 0.0, 0.0, 0.0, 0.0, 0.0, 0.29522, 0.0, 0.0, 0.0, 0.299286, 0.044661, 0.137931, 0.1, 0.0, 0.04456, 0.259043, 0.383491, 0.513978, 0.610989, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.268754, 0.368349, 0.515976, 0.592668, 0.0, 0.0, 0.0, 0.29667, 1.0, 1.0]"
0,14043,18,docid = GX000-28-13950539 inc = 1 prob = 0.082816,"[0.004404, 0.142857, 0.2, 1.0, 0.00523, 0.0, 0.0, 0.0, 0.0, 0.0, 0.303234, 0.161122, 0.11717, 0.251048, 0.307842, 0.021407, 0.068966, 0.2, 0.277778, 0.021432, 0.132754, 0.109583, 0.25211, 0.242888, 0.385581, 0.297034, 0.048218, 0.214623, 0.195419, 0.120508, 0.011105, 0.101322, 0.230113, 0.025463, 0.002194, 0.027188, 0.166005, 0.162666, 0.289132, 0.273589, 0.166667, 0.2, 0.0, 0.001263, 0.007299, 0.282051]"
