label,qid,docid,comment:,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_20,feature_21,feature_22,feature_23,feature_24,feature_25,feature_26,feature_27,feature_28,feature_29,feature_30,feature_31,feature_32,feature_33,feature_34,feature_35,feature_36,feature_37,feature_38,feature_39,feature_40,feature_41,feature_42,feature_43,feature_44,feature_45,feature_46
0,18219,0,docid = GX004-93-7097963 inc = 0.0428115405134536 prob = 0.860366,0.052893,1.0,0.75,1.0,0.066225,0.0,0.0,0.0,0.0,0.0,0.047634,1.0,0.740506,1.0,0.058539,0.003995,0.5,0.4,0.4,0.004121,1.0,1.0,0.97451,1.0,0.92924,1.0,1.0,0.829951,1.0,1.0,0.768123,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.998377,1.0,0.333333,0.434783,0.0,0.39691,0.447368,0.966667
0,18219,1,docid = GX010-40-4497720 inc = 0.00110683825421716 prob = 0.089706,0.004959,0.0,0.25,0.5,0.006623,0.0,0.0,0.0,0.0,0.0,0.004971,0.0,0.259494,0.521932,0.006639,0.000896,0.714286,0.7,0.0,0.001093,0.229604,0.237068,0.200021,0.063318,0.0,0.0,0.0,0.0,0.310838,0.033799,0.001398,0.025976,0.576917,0.036302,0.001129,0.022642,0.141223,0.212802,0.168053,0.069556,0.333333,0.0,0.0,0.019255,0.421053,0.0
0,18219,2,docid = GX016-32-14546147 inc = 1 prob = 0.811482,0.066116,0.75,0.25,1.0,0.074503,0.0,0.0,0.0,0.0,0.0,0.061487,0.716563,0.259494,1.0,0.068044,0.004945,0.285714,0.3,0.6,0.005016,0.990081,0.973625,1.0,0.973218,1.0,0.87801,0.016022,1.0,0.485677,0.147968,0.004197,0.113559,0.954513,0.946955,0.998874,0.966838,0.986045,0.963141,1.0,0.962716,0.666667,0.826087,0.0,0.045177,0.473684,1.0
1,18219,3,docid = GX020-25-8391882 inc = 1 prob = 0.115043,0.026446,0.75,0.75,0.5,0.036424,0.0,0.0,0.0,0.0,0.0,0.024116,0.716563,0.702528,0.521932,0.031683,0.007919,1.0,0.5,0.2,0.00817,0.780898,0.659859,0.722056,0.666725,0.42828,0.0,0.0,0.0,0.876585,0.939544,0.664658,0.95386,0.548049,0.0,0.0,0.0,0.843365,0.727569,0.786101,0.725966,0.0,0.608696,0.0,1.0,1.0,0.266667
0,18219,4,docid = GX025-94-0531672 inc = 1 prob = 0.141903,0.029752,0.0,1.0,1.0,0.038079,0.0,0.0,0.0,0.0,0.0,0.022643,0.0,1.0,1.0,0.029721,0.007543,0.357143,1.0,0.4,0.00774,0.825886,0.735769,0.794308,0.735548,0.0,0.0,0.0,0.0,0.737766,0.830504,1.0,0.85251,1.0,1.0,1.0,1.0,0.858094,0.761605,0.818017,0.759069,0.333333,0.956522,0.0,0.013295,0.052632,0.1
0,18219,5,docid = GX026-03-13004845 inc = 0.00923990383395518 prob = 0.162346,0.066116,0.0,0.25,0.5,0.067881,0.0,0.0,0.0,0.0,0.0,0.060889,0.0,0.259494,0.521932,0.062613,0.017844,0.428571,0.9,0.2,0.018024,0.836522,0.686477,0.924117,0.677412,0.0,0.0,0.0,0.0,0.263423,0.0,0.0,0.0,0.548049,0.0,0.0,0.0,0.791753,0.655572,0.864037,0.648098,0.0,0.913043,0.0,0.008132,0.078947,0.533333
0,18219,6,docid = GX048-02-13747475 inc = 1 prob = 0.0823475,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.259494,0.0,0.0,0.0,0.0,0.1,1.0,0.0,0.0,0.470407,0.0,0.367837,0.0,0.0,0.0,0.0,0.675712,0.296249,0.005599,0.22713,0.0,0.0,0.0,0.0,0.0,0.32933,0.0,0.15033,1.0,0.826087,0.0,0.0,0.0,0.0
0,18219,7,docid = GX268-53-13016636 inc = 0.00187837593235052 prob = 0.0937803,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.071429,0.0,1.0,1.0,0.180271,0.0,0.315641,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.047918,0.0,0.219177,0.0,0.666667,1.0,0.0,0.021492,0.184211,0.0
0,18230,8,docid = GX000-11-6487904 inc = 1 prob = 0.112814,0.003865,0.142857,0.333333,0.5,0.004972,0.0,0.0,0.0,0.0,0.0,0.004151,0.142857,0.333333,0.5,0.005884,0.004273,0.021277,0.0625,0.095238,0.004,0.365337,0.200902,0.25601,0.146942,1.0,0.362813,0.008279,0.236012,0.888747,0.38213,0.364357,0.293102,0.793621,0.551724,0.026166,0.747958,0.386842,0.247781,0.281369,0.181361,0.0,0.121212,0.0,0.887007,1.0,0.052758
0,18230,9,docid = GX000-22-1713857 inc = 1 prob = 0.141189,0.008835,0.142857,0.333333,0.5,0.009945,0.0,0.0,0.0,0.0,0.0,0.008824,0.142857,0.333333,0.5,0.01056,0.0039,0.085106,0.375,0.0,0.003777,0.762904,0.678893,0.488861,0.868785,0.544656,0.186268,0.006017,0.104341,0.44927,0.15334,0.361991,0.117733,0.877229,0.719508,0.030542,1.0,0.765505,0.686469,0.502148,0.869165,0.142857,0.0,0.0,0.003539,0.001982,0.013189
